Decl,Nmeasure,RA,Reference,STAR LOGG,STAR LOGG err,STAR M_H,STAR M_H err,STAR TEFF,STAR TEFF err,STAR V,STAR V err,SourceNumber,Star_Id,Variable,f606w,f814w,Member
-53.680596,1,265.2403222,1,4.71732867,,-1.41715968,0.18758677,5299.57679229,127.51407295,8.73241139,7.57335557851,3164.0,258967.0,False,19.237,18.354,0.975011229515
-53.6812089,1,265.2391985,1,4.70033422,,-1.67443964,0.19155989,5437.69216298,125.9406159,16.40506548,8.13977096712,3165.0,258968.0,False,18.768,17.971,0.998777389526
-53.6830471,1,265.2388785,1,3.08836353,,-1.82192456,0.02218547,5381.54553027,13.48312762,22.55281942,0.874969320991,3167.0,258970.0,False,14.085,13.398,0.999999821186
-53.6816605,1,265.2387541,1,3.39712881,,-1.90575526,0.02991571,5473.06006475,19.42179019,14.25871679,1.08734794879,3168.0,258971.0,False,15.265,14.463,0.999962151051
-53.6813348,1,265.2388426,1,4.47981192,,-1.75394561,0.09550836,6184.23955501,41.20942926,14.00693012,4.73889617201,3169.0,258972.0,False,17.539,16.869,0.999647974968
-53.678548,2,265.2387006,1,4.39828568,,-2.07421750319,0.068587625611,6195.26502045,23.1595450357,15.2414794743,2.56228002827,3171.0,258974.0,False,17.197,16.554,0.999811291695
-53.6850017,1,265.2382948,1,4.58211506,,-1.75001087,0.00043093,5918.35864693,48.83483817,19.98571757,4.17412533263,3172.0,258975.0,False,17.985,17.28,0.995369434357
-53.6841601,1,265.2382555,1,4.52950096,,-1.57272449,0.1383095,5373.17724507,106.91235805,24.72540519,5.47152677461,3174.0,258977.0,False,18.912,17.974,0.995988845825
-53.6819536,1,265.237619,1,4.60670421,,-1.68994869,0.10731013,5681.03119258,78.26419387,26.52414519,4.98296590825,3181.0,258984.0,False,18.394,17.617,0.998288393021
-53.6790563,2,265.2373067,1,4.33573723,,-1.95404496696,0.0587244204963,6172.95247782,22.2540548863,15.5081121208,2.31327801636,3186.0,258989.0,False,17.039,16.394,0.999920845032
-53.6836047,1,265.2372694,1,4.62579639,,-1.44913378,0.14283364,5333.05415152,104.23116758,28.75524902,5.20765053101,3188.0,258991.0,False,18.957,18.073,0.957327187061
-53.6829136,1,265.2371012,1,4.7014581,,-1.69025542,0.20422567,4983.98343651,133.28119268,20.94145576,9.11527210876,3190.0,258993.0,False,19.532,18.577,0.998652935028
-53.6861397,1,265.2366959,1,4.59116413,,-1.64331637,0.09095209,5956.42544709,59.77189787,20.35914317,3.91857617031,3197.0,259000.0,False,18.02,17.313,0.998977303505
-53.6841985,1,265.2366691,1,4.6802432,,-1.51027995,0.15738412,5442.81965749,107.95607475,22.52017674,5.05616477064,3199.0,259002.0,False,18.823,18.002,0.994130790234
-53.6814829,1,265.2364243,1,3.93409309,,-2.04183006,0.04236716,6186.78249076,15.06559394,19.54499727,1.57982487949,3200.0,259003.0,False,16.0,15.355,0.99976092577
-53.6838087,1,265.2356296,1,4.4402765,,-1.83588284,0.06396724,6138.06250825,25.05027493,15.13388541,3.05294741491,3207.0,259010.0,False,17.283,16.646,0.999857604504
-53.6810185,1,265.2357321,1,4.5880907,,-1.80696302,0.11881632,5760.77889157,76.93041255,20.93811554,4.60985010051,3209.0,259012.0,False,18.194,17.448,0.999691128731
-53.6835778,1,265.2350992,1,4.690316,,-1.45494175,0.21756933,5530.43878447,188.67083759,22.22407188,6.97281194316,3217.0,259020.0,False,19.032,18.174,0.989884495735
-53.6804167,2,265.2352155,1,4.37678665,,-0.0932978037519,0.0753145605986,4898.42446292,35.8284576143,-9.19042201097,2.84180939462,3221.0,259024.0,False,18.457,17.518,0.0
-53.683827,1,265.2337005,1,4.16124289,,-2.10392677,0.07156183,6267.79734292,24.33750152,12.5589292,2.27197467509,3252.0,259055.0,False,16.459,15.843,0.999735414982
-53.6844267,1,265.2331556,1,4.11127647,,-2.18834706,0.11838297,6270.43865128,37.90384086,14.43035048,3.74627890955,3267.0,259070.0,False,16.331,15.715,0.999583959579
-53.6826297,1,265.2326731,1,4.48267006,,-1.84860037,0.08786273,6112.15191732,33.00116072,18.63605919,3.70413883254,3271.0,259074.0,False,17.565,16.891,0.999847471714
-53.6823814,1,265.2331324,1,4.52406484,,-1.71190539,0.08060898,6019.68223752,40.95812936,8.93636122,3.83882925519,3272.0,259075.0,False,17.725,17.041,0.999240875244
-53.6807319,2,265.2330935,1,3.86655903,,-2.09048378053,0.0487329060536,6036.11839789,18.9602065966,13.91942583,1.73466838215,3274.0,259077.0,False,15.862,15.209,0.999787032604
-53.6835621,1,265.2325759,1,4.62600298,,-1.56831065,0.15301252,5746.73270008,113.10334603,15.22322584,6.26375465611,3287.0,259090.0,False,18.28,17.539,0.99755358696
-53.6818286,1,265.2323006,1,4.51249501,,-2.10700898,0.24644855,5870.94514453,133.20777779,13.12643296,10.8191357221,3290.0,259093.0,False,17.606,16.941,0.99946886301
-53.68329,1,265.2318433,1,4.56027043,,-1.60328323,0.16419051,6025.9053349,90.39166418,12.30469948,8.66651739484,3299.0,259102.0,False,17.914,17.211,0.997622549534
-53.6814139,2,265.2318649,1,2.7450096,,-1.90653873133,0.013805686295,5266.72667157,8.49889041217,16.1318533616,0.629326991657,3300.0,259103.0,False,13.735,12.913,0.999987661839
-53.6820807,3,265.2306924,1,4.36991936,,-1.81840302427,0.0947732366399,6252.82130829,38.5030870098,11.5802236646,3.73396311457,3333.0,259136.0,False,17.13,16.485,0.999746978283
-53.6945,1,265.245,1,4.6752867,,-1.89528793,0.21079579,5205.33217774,155.74832163,10.51912555,7.08395643477,21000001.0,1898541.0,False,19.091,18.211,0.999299347401
-53.6922,1,265.25,1,4.62352103,,-1.43683222,0.10946587,5799.00814494,81.51502116,8.67599268,4.83667416513,21000004.0,1898544.0,False,18.505,17.715,0.949796676636
-53.691,1,265.255,1,4.58224244,,-1.66846211,0.13149343,5559.60523505,114.92393598,23.00647107,4.38843115592,21000005.0,1898545.0,False,18.468,17.66,0.998155891895
-53.6904,1,265.243,1,4.67573829,,-1.3435931,0.21740611,5122.20215182,142.95374845,13.70968437,8.19059255046,21000007.0,1899897.0,False,19.468,18.509,0.960311889648
-53.6902,1,265.253,1,4.65234916,,-1.76673799,0.11128274,5381.62772366,77.99673824,14.03312319,4.72942517548,21000008.0,1898548.0,False,18.452,17.691,0.999483048916
-53.6892,1,265.261,1,4.4643091,,-2.00342007,0.09339912,5979.35776778,45.24962728,16.72010557,3.2951551202,21000011.0,1899898.0,False,17.483,16.816,0.999791204929
-53.6886,1,265.258,1,4.67799652,,-1.85801979,0.12529139,5625.49205593,90.07408065,22.17680259,4.38072336378,21000012.0,1899899.0,False,18.374,17.645,0.999538838863
-53.6886,1,265.242,1,4.72382241,,-1.41457842,0.15250119,5496.31432945,113.50496232,19.71565531,6.20674402102,21000013.0,1898553.0,False,18.844,18.046,0.983229756355
-53.6877,1,265.257,1,4.69368495,,-1.62203334,0.16476404,5196.83277044,116.32430849,3.84975856,6.62629218345,21000014.0,1898554.0,False,19.182,18.295,0.989435136318
-53.6859,1,265.249,1,4.46381678,,-1.9667303,0.07313412,6012.69111609,36.06942146,24.23851492,2.69127754318,21000018.0,1898558.0,False,17.432,16.776,0.999473512173
-53.6844,1,265.242,1,4.33836621,,-1.94527358,0.07056942,6244.77692133,27.95226136,9.05835771,2.5062129701,21000024.0,1898564.0,False,16.976,16.347,0.999639213085
-53.6839,1,265.253,1,4.65920348,,-1.67562543,0.13211279,5404.87438298,91.28089058,24.9097833,5.40681039038,21000026.0,1898565.0,False,18.788,17.961,0.998036324978
-53.6818,1,265.25,1,4.35251506,,-1.98660767,0.06051239,6206.26599802,21.20487244,19.57943319,2.22952515521,21000030.0,1899909.0,False,16.865,16.27,0.999809026718
-53.6811,1,265.247,1,4.51953077,,-1.8126804,0.08507304,6014.94076602,42.67665641,10.73997233,3.38578299284,21000032.0,1898571.0,False,17.717,17.032,0.999651074409
-53.6805,1,265.258,1,4.53312082,,-1.83740356,0.08224686,5933.41327059,46.58868394,19.25925605,3.26353835289,21000033.0,1898572.0,False,17.617,16.962,0.999746620655
-53.6802,1,265.244,1,4.51496417,,-2.08082635,0.09547005,5959.53784859,46.45196507,7.43571713,3.45955635128,21000035.0,1898574.0,False,17.686,17.005,0.99911570549
-53.68,1,265.246,1,4.56866493,,-1.8324101,0.08112151,5860.55457712,51.7657283,23.37554265,3.19819234303,21000036.0,1898575.0,False,17.803,17.129,0.999704778194
-53.6798,1,265.245,1,4.51700066,,-1.81972769,0.08005788,6013.73440275,39.90929168,27.80717797,3.15498686534,21000037.0,1898576.0,False,17.655,16.982,0.998312711716
-53.6764,2,265.247,1,4.49370251,,-1.88759430781,0.062929729674,6149.48131367,23.3157061458,20.0026906413,2.52287022258,21000040.0,1898578.0,False,17.328,16.713,0.999853134155
-53.6937,1,265.243,1,4.66304383,,-1.84862808,0.1270281,5374.55411816,87.50867792,10.88710728,4.71041431342,21000045.0,1898581.0,False,18.608,17.821,0.999601602554
-53.6936,1,265.249,1,4.62925169,,-1.77067414,0.12246879,5512.5579306,102.64495143,20.88722223,4.16383958996,21000046.0,1898582.0,False,18.408,17.642,0.999411165714
-53.6935,1,265.249,1,4.66273632,,-1.92793985,0.1255624,5397.02600263,87.16714115,9.87511304,4.82268558009,21000047.0,1898583.0,False,18.473,17.714,0.999533593655
-53.6917,1,265.246,1,4.52606902,,-1.74367856,0.0851683,5820.70218856,53.88721608,13.94283568,3.58711161411,21000050.0,1898586.0,False,17.841,17.133,0.999527096748
-53.6914,1,265.25,1,4.51658678,,-1.79532279,0.07470152,6060.56558637,36.52921013,15.02834661,3.32731688563,21000051.0,1898587.0,False,17.718,17.031,0.999675989151
-53.6913,1,265.249,1,4.59293453,,-1.73140765,0.10492676,5702.11924136,71.41097362,18.2644542,3.88543455426,21000052.0,1898588.0,False,18.1,17.377,0.999493718147
-53.6912,1,265.252,1,4.75757434,,-0.47225707,0.09617749,5540.00120793,84.1764705,-172.85194542,4.41169993297,21000053.0,1898589.0,False,18.947,18.149,0.0
-53.6911,1,265.245,1,3.7414619,,-0.07138087,0.02213166,5335.59860771,16.08303731,-45.0833456,1.22235325112,21000054.0,1898590.0,False,16.016,15.245,0.0
-53.6903,1,265.257,1,4.26676187,,-2.12850607,0.06197606,6221.64877052,19.72993434,12.05924581,2.09053996956,21000056.0,1898592.0,False,16.642,16.047,0.999436080456
-53.6892,1,265.249,1,4.64818417,,-1.50915298,0.13452611,5331.60273917,99.69492278,10.99508506,4.48245810198,21000061.0,1898596.0,False,18.95,18.082,0.990675806999
-53.689,1,265.253,1,4.49357908,,-1.8674671,0.08004175,5920.49339922,46.36794606,23.15090233,2.96404842333,21000062.0,1898597.0,False,17.636,16.953,0.999613404274
-53.6888,1,265.245,1,4.08304052,,-0.20215932,0.0295432,5471.0479533,21.27164827,-102.72009961,1.47059459246,21000063.0,1898598.0,False,16.828,16.076,0.0
