Decl,Nmeasure,RA,Reference,STAR LOGG,STAR LOGG err,STAR M_H,STAR M_H err,STAR TEFF,STAR TEFF err,STAR V,STAR V err,SourceNumber,Star_Id,Variable,f606w,f814w,Member
-53.680596,1,265.2403222,1,4.71732867,,-1.41715968,0.18758677,5299.57679229,127.51407295,8.73241139,7.5733555785,3164,258967,False,19.237,18.354,0.9750112295
-53.6812089,1,265.2391985,1,4.70033422,,-1.67443964,0.19155989,5437.69216298,125.9406159,16.40506548,8.1397709671,3165,258968,False,18.768,17.971,0.9987773895
-53.6830471,1,265.2388785,1,3.08836353,,-1.82192456,0.02218547,5381.54553027,13.48312762,22.55281942,0.874969321,3167,258970,False,14.085,13.398,0.9999998212
-53.6816605,1,265.2387541,1,3.39712881,,-1.90575526,0.02991571,5473.06006475,19.42179019,14.25871679,1.0873479488,3168,258971,False,15.265,14.463,0.9999621511
-53.6813348,1,265.2388426,1,4.47981192,,-1.75394561,0.09550836,6184.23955501,41.20942926,14.00693012,4.738896172,3169,258972,False,17.539,16.869,0.999647975
-53.678548,2,265.2387006,1,4.39828568,,-2.0742175032,0.0685876256,6195.26502045,23.1595450357,15.2414794743,2.5622800283,3171,258974,False,17.197,16.554,0.9998112917
-53.6850017,1,265.2382948,1,4.58211506,,-1.75001087,0.00043093,5918.35864693,48.83483817,19.98571757,4.1741253326,3172,258975,False,17.985,17.28,0.9953694344
-53.6841601,1,265.2382555,1,4.52950096,,-1.57272449,0.1383095,5373.17724507,106.91235805,24.72540519,5.4715267746,3174,258977,False,18.912,17.974,0.9959888458
-53.6819536,1,265.237619,1,4.60670421,,-1.68994869,0.10731013,5681.03119258,78.26419387,26.52414519,4.9829659083,3181,258984,False,18.394,17.617,0.998288393
-53.6790563,2,265.2373067,1,4.33573723,,-1.954044967,0.0587244205,6172.95247782,22.2540548863,15.5081121208,2.3132780164,3186,258989,False,17.039,16.394,0.999920845
-53.6836047,1,265.2372694,1,4.62579639,,-1.44913378,0.14283364,5333.05415152,104.23116758,28.75524902,5.207650531,3188,258991,False,18.957,18.073,0.9573271871
-53.6829136,1,265.2371012,1,4.7014581,,-1.69025542,0.20422567,4983.98343651,133.28119268,20.94145576,9.1152721088,3190,258993,False,19.532,18.577,0.998652935
-53.6861397,1,265.2366959,1,4.59116413,,-1.64331637,0.09095209,5956.42544709,59.77189787,20.35914317,3.9185761703,3197,259000,False,18.02,17.313,0.9989773035
-53.6841985,1,265.2366691,1,4.6802432,,-1.51027995,0.15738412,5442.81965749,107.95607475,22.52017674,5.0561647706,3199,259002,False,18.823,18.002,0.9941307902
-53.6814829,1,265.2364243,1,3.93409309,,-2.04183006,0.04236716,6186.78249076,15.06559394,19.54499727,1.5798248795,3200,259003,False,16,15.355,0.9997609258
-53.6838087,1,265.2356296,1,4.4402765,,-1.83588284,0.06396724,6138.06250825,25.05027493,15.13388541,3.0529474149,3207,259010,False,17.283,16.646,0.9998576045
-53.6810185,1,265.2357321,1,4.5880907,,-1.80696302,0.11881632,5760.77889157,76.93041255,20.93811554,4.6098501005,3209,259012,False,18.194,17.448,0.9996911287
-53.6835778,1,265.2350992,1,4.690316,,-1.45494175,0.21756933,5530.43878447,188.67083759,22.22407188,6.9728119432,3217,259020,False,19.032,18.174,0.9898844957
-53.6804167,2,265.2352155,1,4.37678665,,-0.0932978038,0.0753145606,4898.42446292,35.8284576143,-9.190422011,2.8418093946,3221,259024,False,18.457,17.518,0
-53.683827,1,265.2337005,1,4.16124289,,-2.10392677,0.07156183,6267.79734292,24.33750152,12.5589292,2.2719746751,3252,259055,False,16.459,15.843,0.999735415
-53.6844267,1,265.2331556,1,4.11127647,,-2.18834706,0.11838297,6270.43865128,37.90384086,14.43035048,3.7462789096,3267,259070,False,16.331,15.715,0.9995839596
-53.6826297,1,265.2326731,1,4.48267006,,-1.84860037,0.08786273,6112.15191732,33.00116072,18.63605919,3.7041388325,3271,259074,False,17.565,16.891,0.9998474717
-53.6823814,1,265.2331324,1,4.52406484,,-1.71190539,0.08060898,6019.68223752,40.95812936,8.93636122,3.8388292552,3272,259075,False,17.725,17.041,0.9992408752
-53.6807319,2,265.2330935,1,3.86655903,,-2.0904837805,0.0487329061,6036.11839789,18.9602065966,13.91942583,1.7346683822,3274,259077,False,15.862,15.209,0.9997870326
-53.6835621,1,265.2325759,1,4.62600298,,-1.56831065,0.15301252,5746.73270008,113.10334603,15.22322584,6.2637546561,3287,259090,False,18.28,17.539,0.997553587
-53.6818286,1,265.2323006,1,4.51249501,,-2.10700898,0.24644855,5870.94514453,133.20777779,13.12643296,10.8191357221,3290,259093,False,17.606,16.941,0.999468863
-53.68329,1,265.2318433,1,4.56027043,,-1.60328323,0.16419051,6025.9053349,90.39166418,12.30469948,8.6665173948,3299,259102,False,17.914,17.211,0.9976225495
-53.6814139,2,265.2318649,1,2.7450096,,-1.9065387313,0.0138056863,5266.72667157,8.4988904122,16.1318533616,0.6293269917,3300,259103,False,13.735,12.913,0.9999876618
-53.6820807,3,265.2306924,1,4.36991936,,-1.8184030243,0.0947732366,6252.82130829,38.5030870098,11.5802236646,3.7339631146,3333,259136,False,17.13,16.485,0.9997469783
-53.6945,1,265.245,1,4.6752867,,-1.89528793,0.21079579,5205.33217774,155.74832163,10.51912555,7.0839564348,21000001,1898541,False,19.091,18.211,0.9992993474
-53.6922,1,265.25,1,4.62352103,,-1.43683222,0.10946587,5799.00814494,81.51502116,8.67599268,4.8366741651,21000004,1898544,False,18.505,17.715,0.9497966766
-53.691,1,265.255,1,4.58224244,,-1.66846211,0.13149343,5559.60523505,114.92393598,23.00647107,4.3884311559,21000005,1898545,False,18.468,17.66,0.9981558919
-53.6904,1,265.243,1,4.67573829,,-1.3435931,0.21740611,5122.20215182,142.95374845,13.70968437,8.1905925505,21000007,1899897,False,19.468,18.509,0.9603118896
-53.6902,1,265.253,1,4.65234916,,-1.76673799,0.11128274,5381.62772366,77.99673824,14.03312319,4.7294251755,21000008,1898548,False,18.452,17.691,0.9994830489
-53.6892,1,265.261,1,4.4643091,,-2.00342007,0.09339912,5979.35776778,45.24962728,16.72010557,3.2951551202,21000011,1899898,False,17.483,16.816,0.9997912049
-53.6886,1,265.258,1,4.67799652,,-1.85801979,0.12529139,5625.49205593,90.07408065,22.17680259,4.3807233638,21000012,1899899,False,18.374,17.645,0.9995388389
-53.6886,1,265.242,1,4.72382241,,-1.41457842,0.15250119,5496.31432945,113.50496232,19.71565531,6.206744021,21000013,1898553,False,18.844,18.046,0.9832297564
-53.6877,1,265.257,1,4.69368495,,-1.62203334,0.16476404,5196.83277044,116.32430849,3.84975856,6.6262921835,21000014,1898554,False,19.182,18.295,0.9894351363
-53.6859,1,265.249,1,4.46381678,,-1.9667303,0.07313412,6012.69111609,36.06942146,24.23851492,2.6912775432,21000018,1898558,False,17.432,16.776,0.9994735122
-53.6844,1,265.242,1,4.33836621,,-1.94527358,0.07056942,6244.77692133,27.95226136,9.05835771,2.5062129701,21000024,1898564,False,16.976,16.347,0.9996392131
-53.6839,1,265.253,1,4.65920348,,-1.67562543,0.13211279,5404.87438298,91.28089058,24.9097833,5.4068103904,21000026,1898565,False,18.788,17.961,0.998036325
-53.6818,1,265.25,1,4.35251506,,-1.98660767,0.06051239,6206.26599802,21.20487244,19.57943319,2.2295251552,21000030,1899909,False,16.865,16.27,0.9998090267
-53.6811,1,265.247,1,4.51953077,,-1.8126804,0.08507304,6014.94076602,42.67665641,10.73997233,3.3857829928,21000032,1898571,False,17.717,17.032,0.9996510744
-53.6805,1,265.258,1,4.53312082,,-1.83740356,0.08224686,5933.41327059,46.58868394,19.25925605,3.2635383529,21000033,1898572,False,17.617,16.962,0.9997466207
-53.6802,1,265.244,1,4.51496417,,-2.08082635,0.09547005,5959.53784859,46.45196507,7.43571713,3.4595563513,21000035,1898574,False,17.686,17.005,0.9991157055
