BITPIX  =                    8  /  8-bit ASCII characters                       
NAXIS   =                    1  /  Number of Image Dimensions                   
NAXIS1  =                 2048  /  Length of axis                               
ORIGIN  = 'NOAO-IRAF: WTEXTIMAGE'  /
IRAF-MAX=                   0.  /  Max image pixel (out of date)                
IRAF-MIN=                   0.  /  Min image pixel (out of date)                
IRAF-B/P=                   32  /  Image bits per pixel                         
IRAFTYPE= 'REAL FLOATING     '  /  Image datatype                              
OBJECT  = 'S HR  489         R+L 020406'  /
FILENAME= '1D_SDR.FITS       '  /  IRAF filename                               
FORMAT  = '5G14.7            '  /  Text line format                            
EXTEND  =                    F / File may contain extensions                    
ORIGIN  = 'NOAO-IRAF FITS Image Kernel July 2003' / FITS file originator        
DATE    = '2015-11-13T18:06:27' / Date FITS file was generated                  
IRAF-TLM= '2015-11-13T18:06:27' / Time of last modification                     
CRVAL1  =   4018.6                                                  
CDELT1  =   1.25                                                 
CRPIX1  =                    1                                                  
STATUS  = 'SPECTRUM                                                        '    
CTYPE1  = 'LAMBDA                                                          '    
OBJECT  = 'S HR  489         R+L 020406'                                        
IDS SLIT= 'R+L                                                             '    
LIDDS   = '015                                                             '    
                                                                                
                                                                                
INSTRUME= 'Lick 3.0 mts, Blue ITS                                          '    
OBSERVER= 'S.M. Faber et al                                                '    
TAPENUM =                    5                                                  
APNUM1  = '1 0 1.00 1.00 1.00 1.00'                                             
DC-FLAG =                    0                                                  
WCSDIM  =                    1                                                  
CD1_1   =  1.25                                                  
LTM1_1  =                   1.                                                  
WAT0_001= 'system=equispec'                                                     
WAT1_001= 'wtype=linear label=lambda units=angstroms'                           
END                                                                             
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
4018.6  61.78714
4019.8  1087.245
4021.1  1159.671
4022.3  1027.502
4023.6  865.4569
4024.8  757.0187
4026.1  1036.502
4027.3  1238.237
4028.6  1460.026
4029.8  1235.784
4031.1  1120.799
4032.3  1586.877
4033.6  2415.097
4034.8  3029.718
4036.1  3539.58
4037.3  3728.628
4038.6  4016.296
4039.8  4461.917
4041.1  4499.973
4042.3  4784.777
4043.6  4808.917
4044.8  4840.837
4046.1  4911.629
4047.3  4752.447
4048.6  4960.324
4049.8  4770.861
4051.1  4772.09
4052.3  4861.705
4053.6  4632.961
4054.8  4815.874
4056.1  4808.917
4057.3  4736.492
4058.6  4808.098
4059.8  4982.83
4061.1  5007.79
4062.3  4961.958
4063.6  4711.937
4064.8  4904.264
4066.1  5025.384
4067.3  4951.32
4068.6  5066.714
4069.8  4962.368
4071.1  5193.156
4072.3  5270.088
4073.6  5238.168
4074.8  5356.839
4076.1  5277.044
4077.3  5240.217
4078.6  5066.714
4079.8  4967.28
4081.1  5226.71
4082.3  5208.706
4083.6  5353.972
4084.8  5212.389
4086.1  5322.466
4087.3  5399.803
4088.6  5484.916
4089.8  5495.964
4091.1  5815.958
4092.3  5839.283
4093.6  6066.388
4094.8  5909.259
4096.1  6288.996
4097.3  6519.784
4098.6  6650.728
4099.8  6694.101
4101.1  7078.75
4102.3  7115.577
4103.6  7636.081
4104.8  7598.434
4106.1  7648.358
4107.3  7612.755
4108.6  7576.338
4109.8  7493.679
4111.1  7476.084
4112.3  7341.867
4113.6  7283.349
4114.8  7136.039
4116.1  6640.499
4117.3  6627.812
4118.6  6809.09
4119.8  6660.547
4121.1  6777.17
4122.3  6998.548
4123.6  7138.083
4124.8  7129.493
4126.1  7140.131
4127.3  7069.34
4128.6  7068.93
4129.8  7339.818
4131.1  7299.718
4132.3  6971.13
4133.6  7111.894
4134.8  7176.958
4136.1  6958.448
4137.3  7261.252
4138.6  7240.794
4139.8  7196.192
4141.1  6976.862
4142.3  7176.549
4143.6  6955.58
4144.8  6832.821
4146.1  6972.359
4147.3  6906.885
4148.6  7038.239
4149.8  6783.307
4151.1  6893.793
4152.3  6994.046
4153.6  6716.607
4154.8  6466.996
4156.1  6430.988
4157.3  6463.313
4158.6  6586.482
4159.8  6668.322
4161.1  6678.555
4162.3  6717.017
4163.6  6861.058
4164.8  7086.934
4166.1  7218.288
4167.3  7508.
4168.6  7399.156
4169.8  7484.269
4171.1  7673.728
4172.3  7736.334
4173.6  7746.567
4174.8  7744.519
4176.1  7595.98
4177.3  7782.576
4178.6  7699.917
4179.8  7339.003
4181.1  7486.723
4182.3  7559.563
4183.6  7263.3
4184.8  7393.016
4186.1  7243.658
4187.3  7559.563
4188.6  7855.411
4189.8  7953.62
4191.1  7795.667
4192.3  8068.604
4193.6  8338.678
4194.8  8564.145
4196.1  8326.4
4197.3  8352.18
4198.6  8562.101
4199.8  8394.738
4201.1  8365.276
4202.3  8354.229
4203.6  8257.248
4204.8  8249.063
4206.1  8130.396
4207.3  8147.581
4208.6  8068.604
4209.8  8000.676
4211.1  8258.882
4212.3  8654.578
4213.6  8891.098
4214.8  9078.512
4216.1  9455.795
4217.3  9641.161
4218.6  9868.676
4219.8  10186.21
4221.1  10437.06
4222.3  10559.81
4223.6  10435.42
4224.8  10652.29
4226.1  10236.55
4227.3  10118.29
4228.6  9822.029
4229.8  9500.807
4231.1  8940.202
4232.3  8869.82
4233.6  8720.053
4234.8  8547.779
4236.1  8818.668
4237.3  9017.54
4238.6  9444.746
4239.8  9952.974
4241.1  10206.68
4242.3  10643.7
4243.6  11065.59
4244.8  11017.71
4246.1  11495.25
4247.3  11757.54
4248.6  12023.52
4249.8  12469.55
4251.1  12483.87
4252.3  12410.63
4253.6  12370.52
4254.8  12212.58
4256.1  11876.21
4257.3  11534.53
4258.6  11710.9
4259.8  11679.38
4261.1  11697.8
4262.3  11732.99
4263.6  12046.03
4264.8  12206.84
4266.1  12518.25
4267.3  12947.5
4268.6  13269.54
4269.8  13376.75
4271.1  13244.99
4272.3  13277.31
4273.6  13218.39
4274.8  12742.9
4276.1  12170.84
4277.3  11647.47
4278.6  11612.28
4279.8  11861.48
4281.1  12149.96
4282.3  12525.61
4283.6  12912.31
4284.8  13089.9
4286.1  12970.41
4287.3  13210.61
4288.6  13161.92
4289.8  12792.82
4291.1  12503.52
4292.3  12062.4
4293.6  11643.79
4294.8  11462.1
4296.1  11347.12
4297.3  11696.57
4298.6  11458.42
4299.8  11573.41
4301.1  11457.6
4302.3  11309.88
4303.6  11119.6
4304.8  10850.35
4306.1  10830.3
4307.3  10493.12
4308.6  10461.2
4309.8  10655.98
4311.1  10910.5
4312.3  11178.52
4313.6  11465.38
4314.8  12632.41
4316.1  13859.6
4317.3  14653.86
4318.6  16147.44
4319.8  17575.55
4321.1  18240.09
4322.3  18554.36
4323.6  18826.88
4324.8  18811.74
4326.1  17921.73
4327.3  17754.37
4328.6  17708.54
4329.8  17824.75
4331.1  17869.36
4332.3  18552.31
4333.6  19281.5
4334.8  19570.81
4336.1  19787.28
4337.3  20153.1
4338.6  19521.7
4339.8  19528.25
4341.1  19101.05
4342.3  19181.25
4343.6  19423.09
4344.8  19518.02
4346.1  20145.32
4347.3  20163.33
4348.6  20601.99
4349.8  20399.03
4351.1  20637.18
4352.3  20857.74
4353.6  20717.39
4354.8  20746.03
4356.1  20699.38
4357.3  20584.39
4358.6  20824.19
4359.8  20922.8
4361.1  20784.91
4362.3  21990.82
4363.6  22242.07
4364.8  22834.59
4366.1  22659.04
4367.3  22866.91
4368.6  22760.52
4369.8  22497.82
4371.1  21841.46
4372.3  21423.26
4373.6  21079.94
4374.8  20483.33
4376.1  20443.63
4377.3  19770.91
4378.6  19624.01
4379.8  19522.11
4381.1  18936.55
4382.3  18419.73
4383.6  18368.99
4384.8  17609.92
4386.1  16933.1
4387.3  16837.35
4388.6  16793.97
4389.8  17354.99
4391.1  17746.6
4392.3  18990.97
4393.6  19648.15
4394.8  20060.21
4396.1  20517.7
4397.3  20951.04
4398.6  21308.68
4399.8  21432.67
4401.1  21515.74
4402.3  21363.51
4403.6  20724.34
4404.8  20216.53
4406.1  19581.04
4407.3  19146.47
4408.6  19067.08
4409.8  19446.
4411.1  20057.75
4412.3  21163.41
4413.6  21835.32
4414.8  22452.39
4416.1  22845.23
4417.3  22601.75
4418.6  23236.02
4419.8  23256.06
4421.1  23707.82
4422.3  23596.11
4423.6  23738.1
4424.8  23553.14
4426.1  23264.66
4427.3  23726.23
4428.6  23555.19
4429.8  23112.84
4431.1  22886.96
4432.3  22943.44
4433.6  22952.44
4434.8  23046.55
4436.1  23612.07
4437.3  24255.74
4438.6  24669.44
4439.8  25070.46
4441.1  25400.27
4442.3  25540.63
4443.6  25673.21
4444.8  25980.11
4446.1  26554.22
4447.3  26403.22
4448.6  26940.5
4449.8  27143.46
4451.1  27021.11
4452.3  26527.21
4453.6  26660.2
4454.8  26442.51
4456.1  25326.61
4457.3  24831.89
4458.6  24115.38
4459.8  23817.49
4461.1  24091.65
4462.3  24007.36
4463.6  24668.21
4464.8  25217.36
4466.1  26280.05
4467.3  27059.17
4468.6  27560.44
4469.8  28145.19
4471.1  29172.68
4472.3  29971.45
4473.6  30578.29
4474.8  31025.55
4476.1  31296.03
4477.3  31769.88
4478.6  31918.83
4479.8  31781.75
4481.1  31543.18
4482.3  31571.42
4483.6  32034.22
4484.8  32523.22
4486.1  32657.02
4487.3  33022.44
4488.6  32816.2
4489.8  32496.21
4491.1  32137.75
4492.3  31436.79
4493.6  30586.06
4494.8  30406.83
4496.1  30468.21
4497.3  30969.89
4498.6  31776.42
4499.8  32967.61
4501.1  34529.93
4502.3  35525.93
4503.6  36119.27
4504.8  36804.68
4506.1  36893.06
4507.3  36810.81
4508.6  36749.02
4509.8  36598.85
4511.1  36028.02
4512.3  35277.13
4513.6  34809.42
4514.8  34435.41
4516.1  34909.67
4517.3  35499.74
4518.6  35537.79
4519.8  35200.2
4521.1  34851.97
4522.3  34164.93
4523.6  33239.32
4524.8  32617.74
4526.1  31644.67
4527.3  30552.1
4528.6  29214.83
4529.8  28562.98
4531.1  28608.81
4532.3  28880.11
4533.6  29606.85
4534.8  30562.33
4536.1  31167.95
4537.3  31693.77
4538.6  32449.15
4539.8  32945.52
4541.1  33343.66
4542.3  33533.53
4543.6  33344.89
4544.8  33214.36
4546.1  33255.68
