1	13 13 40.43	-48 47 13.8	13 13 40.43	-48 47 13.8	220.2	1.1
2	12 04 07.64	-07 32 26.8	12 04 07.64	-07 32 26.8	160.1	1.0
3	15 16 58.34	-12 35 19.3	15 16 58.34	-12 35 19.3	64.9	1.0
4	15 30 16.81	-21 40 28.0	15 30 16.81	-21 40 28.0	113.7	0.5
5	14 35 00.85	-26 43 36.8	14 35 00.85	-26 43 36.8	122.5	0.8
6	15 07 03.45	-11 22 34.8	15 07 03.45	-11 22 34.8	-13.7	2.4
7	04 01 33.83	-83 24 27.9	04 01 33.83	-83 24 27.9	148.6	0.7
8	14 30 24.93	-08 50 45.6	14 30 24.93	-08 50 45.6	15.6	0.8
9	14 49 26.41	-21 17 44.7	14 49 26.41	-21 17 44.7	78.1	0.8
10	14 46 18.81	-71 17 40.2	14 46 18.81	-71 17 40.2	164.0	0.8
11	15 25 54.50	-03 27 41.0	15 25 54.50	-03 27 41.0	51.4	0.9
12	12 47 22.91	-28 22 59.8	12 47 22.91	-28 22 59.8	241.2	0.6
13	14 47 34.53	-72 20 17.7	14 47 34.53	-72 20 17.7	235.8	1.1
14	12 31 13.69	-19 44 41.2	12 31 13.69	-19 44 41.2	158.0	1.1
15	11 08 42.12	-71 52 59.9	11 08 42.12	-71 52 59.9	272.7	0.8
16	23 57 50.04	-54 53 10.5	23 57 50.04	-54 53 10.5	6.4	0.8
17	23 50 19.27	-41 46 49.6	23 50 19.27	-41 46 49.6	-118.0	1.3
18	23 50 15.53	-34 52 23.2	23 50 15.53	-34 52 23.2	11.9	0.7
19	23 46 26.75	-65 52 35.0	23 46 26.75	-65 52 35.0	56.5	1.1
20	23 46 12.41	-64 50 21.7	23 46 12.41	-64 50 21.7	134.7	1.4
21	23 35 19.61	-73 24 43.1	23 35 19.61	-73 24 43.1	114.4	1.2
22	23 34 41.82	-61 43 18.3	23 34 41.82	-61 43 18.3	95.7	0.7
23	23 31 39.72	-61 17 55.3	23 31 39.72	-61 17 55.3	149.3	0.7
24	23 24 08.57	-42 07 35.6	23 24 08.57	-42 07 35.6	78.0	1.1
25	23 22 22.25	-51 26 30.0	23 22 22.25	-51 26 30.0	88.9	1.0
26	23 22 07.01	-40 30 30.6	23 22 07.01	-40 30 30.6	70.9	1.5
27	23 18 19.14	-58 19 42.3	23 18 19.14	-58 19 42.3	106.3	0.6
28	23 14 34.64	-66 25 59.5	23 14 34.64	-66 25 59.5	147.9	0.4
29	23 10 33.03	-55 58 01.1	23 10 33.03	-55 58 01.1	76.5	1.9
30	23 09 58.89	-67 05 37.6	23 09 58.89	-67 05 37.6	174.5	0.6
31	23 03 11.34	-53 47 00.3	23 03 11.34	-53 47 00.3	15.5	0.5
32	22 59 54.56	-42 52 04.7	22 59 54.56	-42 52 04.7	18.8	0.7
33	22 40 57.62	-59 33 04.5	22 40 57.62	-59 33 04.5	35.2	0.8
34	22 38 54.79	-45 23 16.4	22 38 54.79	-45 23 16.4	15.3	1.0
35	22 32 14.89	-70 53 45.0	22 32 14.89	-70 53 45.0	25.2	1.2
36	22 30 19.88	-50 40 13.5	22 30 19.88	-50 40 13.5	-125.4	0.6
37	22 20 36.38	-44 49 56.9	22 20 36.38	-44 49 56.9	113.7	1.0
38	22 15 15.03	-69 08 51.8	22 15 15.03	-69 08 51.8	165.8	1.0
39	22 12 08.42	-70 09 05.0	22 12 08.42	-70 09 05.0	157.9	1.0
40	22 12 08.40	-70 09 05.0	22 12 08.40	-70 09 05.0	156.4	0.5
41	22 11 32.88	-40 52 39.0	22 11 32.88	-40 52 39.0	-171.9	2.0
42	22 05 51.66	-48 30 30.0	22 05 51.66	-48 30 30.0	155.2	1.6
43	22 05 13.76	-70 43 47.2	22 05 13.76	-70 43 47.2	68.3	1.0
44	22 01 34.63	-60 01 47.1	22 01 34.63	-60 01 47.1	-56.6	0.9
45	21 53 14.24	-64 13 37.4	21 53 14.24	-64 13 37.4	234.2	0.6
46	21 26 00.29	-61 59 24.1	21 26 00.29	-61 59 24.1	33.4	0.7
47	21 25 00.40	-42 56 10.1	21 25 00.40	-42 56 10.1	-105.0	1.0
